date,adjClose
2020-08-24,108.46580505371094
2020-08-25,108.20790100097656
2020-08-26,108.16345977783203
2020-08-27,107.78097534179688
2020-08-28,107.9588623046875
2020-08-31,108.07447814941406
2020-09-01,108.4287338256836
2020-09-02,108.58000946044922
2020-09-03,108.72244262695312
2020-09-04,108.11717224121094
2020-09-08,108.34862518310547
2020-09-09,108.29523468017578
2020-09-10,108.4287338256836
2020-09-11,108.59783935546875
2020-09-14,108.49993896484375
2020-09-15,108.44652557373047
2020-09-16,108.38422393798828
2020-09-17,108.41980743408203
2020-09-18,108.32192993164062
2020-09-21,108.51774597167969
2020-09-22,108.51774597167969
2020-09-23,108.51774597167969
2020-09-24,108.57113647460938
2020-09-25,108.66011810302734
2020-09-28,108.642333984375
2020-09-29,108.72244262695312
2020-09-30,108.4287338256836
2020-10-01,108.49016571044922
2020-10-02,108.38333129882812
2020-10-05,107.69750213623047
2020-10-06,107.94689178466797
2020-10-07,107.63513946533203
2020-10-08,107.83108520507812
2020-10-09,107.77764892578125
2020-10-12,107.8934326171875
2020-10-13,108.13391876220703
2020-10-14,108.1695785522461
2020-10-15,108.05375671386719
2020-10-16,107.99138641357422
2020-10-19,107.81327819824219
2020-10-20,107.58170318603516
2020-10-21,107.439208984375
2020-10-22,107.06511688232422
2020-10-23,107.21653747558594
2020-10-26,107.50155639648438
2020-10-27,107.74205017089844
2020-10-28,107.733154296875
2020-10-29,107.27889251708984
2020-10-30,106.93153381347656
2020-11-02,107.11515808105469
2020-11-03,106.8744888305664
2020-11-04,107.77464294433594
2020-11-05,107.75682830810547
2020-11-06,107.39143371582031
2020-11-09,106.59822082519531
2020-11-10,106.29520416259766
2020-11-11,106.46454620361328
2020-11-12,107.07058715820312
2020-11-13,106.92798614501953
2020-11-16,106.84779357910156
2020-11-17,107.1240463256836
2020-11-18,107.08837890625
2020-11-19,107.20426177978516
2020-11-20,107.39143371582031
2020-11-23,107.17754364013672
2020-11-24,107.00821685791016
2020-11-25,107.04385375976562
2020-11-27,107.36469268798828
2020-11-30,107.29339599609375
2020-12-01,106.7226333618164
2020-12-02,106.54425811767578
2020-12-03,106.82965087890625
2020-12-04,106.41049194335938
2020-12-07,106.74044799804688
2020-12-08,106.84748840332031
2020-12-09,106.69583129882812
2020-12-10,106.93667602539062
2020-12-11,107.1507339477539
2020-12-14,107.08824920654297
2020-12-15,106.98123931884766
2020-12-16,106.89205169677734
2020-12-17,106.81446075439453
2020-12-18,106.72520446777344
2020-12-21,106.79656219482422
2020-12-22,106.97503662109375
2020-12-23,106.75196075439453
2020-12-24,106.90369415283203
2020-12-28,106.91261291503906
2020-12-29,106.89474487304688
2020-12-30,106.96614837646484
2020-12-31,107.03752136230469
2021-01-04,107.06431579589844
2021-01-05,106.81446075439453
2021-01-06,106.18977355957031
2021-01-07,105.81501770019531
2021-01-08,105.5116195678711
2021-01-11,105.30635833740234
2021-01-12,105.28852844238281
2021-01-13,105.65436553955078
2021-01-14,105.41343688964844
2021-01-15,105.69900512695312
2021-01-19,105.76146697998047
2021-01-20,105.80606842041016
2021-01-21,105.65436553955078
2021-01-22,105.81501770019531
2021-01-25,106.24333190917969
2021-01-26,106.20762634277344
2021-01-27,106.33258056640625
2021-01-28,106.0559310913086
2021-01-29,105.86856842041016
2021-02-01,106.00068664550781
2021-02-02,105.73283386230469
2021-02-03,105.47386932373047
2021-02-04,105.43812561035156
2021-02-05,105.21491241455078
2021-02-08,105.25953674316406
2021-02-09,105.33992004394531
2021-02-10,105.60782623291016
2021-02-11,105.52742004394531
2021-02-12,105.1791763305664
2021-02-16,104.42022705078125
2021-02-17,104.49163055419922
2021-02-18,104.48271942138672
2021-02-19,104.06298828125
2021-02-22,103.8933334350586
2021-02-23,103.97373962402344
2021-02-24,103.83085632324219
2021-02-25,102.44683837890625
2021-02-26,103.36651611328125
2021-03-01,103.2503662109375
2021-03-02,103.43798065185547
2021-03-03,102.88404846191406
2021-03-04,102.37476348876953
2021-03-05,102.23179626464844
2021-03-08,101.82972717285156
2021-03-09,102.312255859375
2021-03-10,102.52664947509766
2021-03-11,102.49092864990234
2021-03-12,101.74933624267578
2021-03-15,101.87443542480469
2021-03-16,101.85652160644531
2021-03-17,101.68680572509766
2021-03-18,101.05241394042969
2021-03-19,100.98985290527344
2021-03-22,101.3204345703125
2021-03-23,101.82080841064453
2021-03-24,101.9548110961914
2021-03-25,101.82080841064453
2021-03-26,101.48126983642578
2021-03-29,101.13282775878906
2021-03-30,101.04348754882812
2021-03-31,100.9004898071289
2021-04-01,101.3475570678711
2021-04-05,101.06145477294922
2021-04-06,101.55316162109375
2021-04-07,101.4906005859375
2021-04-08,101.83924865722656
2021-04-09,101.57105255126953
2021-04-12,101.50843811035156
2021-04-13,101.92866516113281
2021-04-14,101.80348205566406
2021-04-15,102.45613861083984
2021-04-16,102.17898559570312
2021-04-19,102.07171630859375
2021-04-20,102.3757095336914
2021-04-21,102.4293441772461
2021-04-22,102.50981903076172
2021-04-23,102.3757095336914
2021-04-26,102.2684326171875
2021-04-27,101.86607360839844
2021-04-28,102.00019073486328
2021-04-29,101.82137298583984
2021-04-30,101.9107666015625
2021-05-03,102.0843276977539
2021-05-04,102.21852111816406
2021-05-05,102.34376525878906
2021-05-06,102.38851165771484
2021-05-07,102.4242935180664
2021-05-10,102.21852111816406
2021-05-11,102.04853057861328
2021-05-12,101.55652618408203
2021-05-13,101.89645385742188
2021-05-14,102.12012481689453
2021-05-17,102.02173614501953
2021-05-18,102.02173614501953
2021-05-19,101.71751403808594
