date,adjClose
2020-08-24,104.91504669189453
2020-08-25,104.88182830810547
2020-08-26,105.0894775390625
2020-08-27,104.67414855957031
2020-08-28,105.00642395019531
2020-08-31,105.47992706298828
2020-09-01,105.5380630493164
2020-09-02,105.57959747314453
2020-09-03,105.21409606933594
2020-09-04,104.89012145996094
2020-09-08,104.98980712890625
2020-09-09,105.04795837402344
2020-09-10,105.13932800292969
2020-09-11,105.08118438720703
2020-09-14,105.01470947265625
2020-09-15,105.0894775390625
2020-09-16,105.0894775390625
2020-09-17,105.14762115478516
2020-09-18,105.0562515258789
2020-09-21,104.86520385742188
2020-09-22,104.89845275878906
2020-09-23,104.79043579101562
2020-09-24,104.86520385742188
2020-09-25,105.00642395019531
2020-09-28,105.22237396240234
2020-09-29,105.39683532714844
2020-09-30,105.08118438720703
2020-10-01,105.06204223632812
2020-10-02,105.07867431640625
2020-10-05,104.76199340820312
2020-10-06,104.77867126464844
2020-10-07,104.77032470703125
2020-10-08,105.18701934814453
2020-10-09,105.22036743164062
2020-10-12,105.28706359863281
2020-10-13,105.28706359863281
2020-10-14,105.28706359863281
2020-10-15,105.25370025634766
2020-10-16,105.29537200927734
2020-10-19,105.04533386230469
2020-10-20,104.95368194580078
2020-10-21,104.92032623291016
2020-10-22,104.76199340820312
2020-10-23,104.88697814941406
2020-10-26,104.97032165527344
2020-10-27,105.17868041992188
2020-10-28,105.04533386230469
2020-10-29,104.68696594238281
2020-10-30,104.37027740478516
2020-11-02,104.75296020507812
2020-11-03,104.66938018798828
2020-11-04,104.84486389160156
2020-11-05,104.92842864990234
2020-11-06,104.4521484375
2020-11-09,104.15135192871094
2020-11-10,104.25163269042969
2020-11-11,104.4354248046875
2020-11-12,104.72789001464844
2020-11-13,104.71953582763672
2020-11-16,104.57748413085938
2020-11-17,104.75296020507812
2020-11-18,104.786376953125
2020-11-19,104.8949966430664
2020-11-20,105.12895202636719
2020-11-23,105.04541778564453
2020-11-24,105.07881164550781
2020-11-25,105.2542724609375
2020-11-27,105.51329040527344
2020-11-30,105.63026428222656
2020-12-01,105.39022827148438
2020-12-02,105.46552276611328
2020-12-03,105.75823211669922
2020-12-04,105.53240966796875
2020-12-07,105.80842590332031
2020-12-08,105.9841079711914
2020-12-09,105.85028839111328
2020-12-10,106.09282684326172
2020-12-11,106.08445739746094
2020-12-14,106.08445739746094
2020-12-15,106.27686309814453
2020-12-16,106.26849365234375
2020-12-17,106.32955169677734
2020-12-18,106.27934265136719
2020-12-21,106.26260375976562
2020-12-22,106.36300659179688
2020-12-23,106.41319274902344
2020-12-24,106.45501708984375
2020-12-28,106.53034973144531
2020-12-29,106.48011779785156
2020-12-30,106.56378173828125
2020-12-31,106.78968811035156
2021-01-04,106.90679931640625
2021-01-05,106.87330627441406
2021-01-06,106.55540466308594
2021-01-07,106.48851013183594
2021-01-08,106.07018280029297
2021-01-11,105.8443374633789
2021-01-12,105.9865493774414
2021-01-13,106.22077941894531
2021-01-14,106.27098083496094
2021-01-15,106.38811492919922
2021-01-19,106.63905334472656
2021-01-20,106.79801177978516
2021-01-21,107.05736541748047
2021-01-22,106.89002227783203
2021-01-25,107.1661376953125
2021-01-26,107.0071792602539
2021-01-27,106.97368621826172
2021-01-28,107.182861328125
2021-01-29,107.07411193847656
2021-02-01,106.8398666381836
2021-02-02,106.99881744384766
2021-02-03,106.94026184082031
2021-02-04,106.86495208740234
2021-02-05,106.8398666381836
2021-02-08,106.94026184082031
2021-02-09,106.99881744384766
2021-02-10,107.0908432006836
2021-02-11,106.96537780761719
2021-02-12,106.78968811035156
2021-02-16,106.27098083496094
2021-02-17,106.2291488647461
2021-02-18,105.78575134277344
2021-02-19,105.33399963378906
2021-02-22,105.32563781738281
2021-02-23,105.35073852539062
2021-02-24,105.26707458496094
2021-02-25,103.978759765625
2021-02-26,105.26707458496094
2021-03-01,104.91573333740234
2021-03-02,105.34233856201172
2021-03-03,105.07467651367188
2021-03-04,104.67312622070312
2021-03-05,104.7818603515625
2021-03-08,104.20462036132812
2021-03-09,104.85717010498047
2021-03-10,105.33399963378906
2021-03-11,105.4260482788086
2021-03-12,104.59781646728516
2021-03-15,104.9073486328125
2021-03-16,105.12486267089844
2021-03-17,105.03282928466797
2021-03-18,104.28825378417969
2021-03-19,104.48906707763672
2021-03-22,104.99102020263672
2021-03-23,105.2085189819336
2021-03-24,105.4845962524414
2021-03-25,105.40930938720703
2021-03-26,105.43441009521484
2021-03-29,105.14994812011719
2021-03-30,104.96593475341797
2021-03-31,104.99102020263672
2021-04-01,105.29292297363281
2021-04-05,104.99100494384766
2021-04-06,105.0497055053711
2021-04-07,105.1167984008789
2021-04-08,105.35160827636719
2021-04-09,105.12518310546875
2021-04-12,105.14196014404297
2021-04-13,105.5277099609375
2021-04-14,105.5277099609375
2021-04-15,106.09796142578125
2021-04-16,106.06440734863281
2021-04-19,105.87991333007812
2021-04-20,105.94699096679688
2021-04-21,106.04766082763672
2021-04-22,106.17344665527344
2021-04-23,106.22372436523438
2021-04-26,106.28243255615234
2021-04-27,106.27406311035156
2021-04-28,106.6094741821289
2021-04-29,106.55915832519531
2021-04-30,106.49208068847656
2021-05-03,106.75731658935547
2021-05-04,107.0014877319336
2021-05-05,107.48143005371094
2021-05-06,107.35514831542969
2021-05-07,107.58248138427734
2021-05-10,107.63299560546875
2021-05-11,107.34671020507812
2021-05-12,107.1614761352539
2021-05-13,107.18672943115234
2021-05-14,107.56564331054688
2021-05-17,107.77615356445312
2021-05-18,107.61615753173828
2021-05-19,106.88362121582031
