,Date,CL=F,UUP,GLD,^VIX,^OVX,SHY,IEF,TIP
0,2020-08-20,42.58000183105469,22.342086791992188,183.5,22.719999313354492,32.83000183105469,77.53785705566406,108.5369644165039,104.35018920898438
1,2020-08-21,42.34000015258789,22.44906997680664,182.02999877929688,22.540000915527344,33.68000030517578,77.52890014648438,108.61705780029295,104.70738220214844
2,2020-08-24,42.619998931884766,22.48473358154297,181.0,22.3700008392334,32.25,77.51993560791016,108.46583557128906,104.9150390625
3,2020-08-25,43.349998474121094,22.40449333190918,181.22000122070312,22.030000686645508,33.029998779296875,77.52890014648438,108.20792388916016,104.88180541992188
4,2020-08-26,43.38999938964844,22.377748489379883,183.36000061035156,23.270000457763672,33.790000915527344,77.52890014648438,108.16342163085938,105.08948516845705
5,2020-08-27,43.040000915527344,22.40449333190918,181.2400054931641,24.469999313354492,33.7400016784668,77.51993560791016,107.7809829711914,104.67415618896484
6,2020-08-28,42.970001220703125,22.226184844970703,184.38999938964844,22.959999084472656,32.060001373291016,77.54681396484375,107.95883178710938,105.00641632080078
7,2020-08-31,42.61000061035156,22.199438095092773,184.8300018310547,26.40999984741211,32.59000015258789,77.57368469238281,108.07450103759766,105.47991943359376
8,2020-09-01,42.7599983215332,22.244016647338867,185.0500030517578,26.1200008392334,31.739999771118164,77.55485534667969,108.42872619628906,105.53807830810548
9,2020-09-02,41.5099983215332,22.324254989624023,182.6199951171875,26.56999969482422,35.4900016784668,77.5638427734375,108.5800323486328,105.57959747314452
10,2020-09-03,41.369998931884766,22.33316993713379,181.13999938964844,33.599998474121094,41.279998779296875,77.55485534667969,108.72248077392578,105.214111328125
11,2020-09-04,39.77000045776367,22.368831634521484,181.63999938964844,30.75,44.02000045776367,77.5279769897461,108.1172103881836,104.8901138305664
12,2020-09-08,36.7599983215332,22.48473358154297,181.2899932861328,31.459999084472656,55.900001525878906,77.53694152832031,108.3486099243164,104.98981475830078
13,2020-09-09,38.04999923706055,22.44906997680664,183.0500030517578,28.809999465942383,49.41999816894531,77.5458984375,108.2952117919922,105.04794311523438
14,2020-09-10,37.29999923706055,22.4936466217041,182.4600067138672,29.709999084472656,52.15999984741211,77.53694152832031,108.42872619628906,105.13934326171876
15,2020-09-11,37.33000183105469,22.44906997680664,182.4499969482422,26.8700008392334,50.130001068115234,77.55485534667969,108.59784698486328,105.08121490478516
16,2020-09-14,37.2599983215332,22.395578384399418,183.88999938964844,25.850000381469727,49.40999984741211,77.5458984375,108.49994659423828,105.01473236083984
17,2020-09-15,38.279998779296875,22.413408279418945,183.4499969482422,25.59000015258789,45.189998626708984,77.55485534667969,108.4465560913086,105.08948516845705
18,2020-09-16,40.15999984741211,22.440155029296875,183.97000122070312,26.040000915527344,41.130001068115234,77.5638427734375,108.38423919677734,105.08948516845705
19,2020-09-17,40.970001220703125,22.35991668701172,182.9600067138672,26.459999084472656,38.72999954223633,77.5458984375,108.41981506347656,105.1476593017578
20,2020-09-18,41.11000061035156,22.38666343688965,183.1999969482422,25.829999923706055,39.06999969482422,77.55485534667969,108.3219223022461,105.0562744140625
21,2020-09-21,39.310001373291016,22.547142028808594,179.52000427246094,27.780000686645508,42.88999938964844,77.5458984375,108.51770782470705,104.8652114868164
22,2020-09-22,39.599998474121094,22.627378463745117,178.64999389648438,26.86000061035156,41.279998779296875,77.5638427734375,108.51770782470705,104.89842224121094
23,2020-09-23,39.93000030517578,22.752195358276367,174.7899932861328,28.579999923706055,44.63999938964844,77.5638427734375,108.51770782470705,104.79045104980467
24,2020-09-24,40.310001373291016,22.716533660888672,175.44000244140625,28.510000228881836,42.880001068115234,77.55485534667969,108.57112121582033,104.8652114868164
25,2020-09-25,40.25,22.778942108154297,174.94000244140625,26.3799991607666,41.40999984741211,77.5638427734375,108.66014862060548,105.00641632080078
