Date,CL=F,UUP,GLD,^VIX,^OVX,SHY,IEF,TIP,CL_vol_5d,CL_vol_21d,CL_mom_5d,CL_mom_21d,UUP_lag1,GLD_lag1,VIX_lag1,CL=F_lag1
2020-08-21,-0.005636488213858093,0.004788415057665807,-0.008010905834894388,-0.007922464932529683,0.025890905474061254,-0.00011551659434250183,0.0007379364644997111,0.003423021998059772,,,,,,,,
2020-08-24,0.006613102935469906,0.0015886450874433855,-0.005658401286623649,-0.007542150372178313,-0.04245844098035911,-0.00011562834707157243,-0.0013922511994565179,0.001983211269198426,,,,,0.004788415057665807,-0.008010905834894388,-0.007922464932529683,-0.005636488213858093
2020-08-25,0.017128098557745552,-0.0035686546759733373,0.0012154763574758753,-0.015198933385446534,0.02418600866036824,0.0001156417185323999,-0.0023778149199744636,-0.0003167671944375172,,,,,0.0015886450874433855,-0.005658401286623649,-0.007542150372178313,0.006613102935469906
2020-08-26,0.0009227431818994436,-0.0011937267285221376,0.011808847672626355,0.0562868693812546,0.023009450933035858,0.0,-0.0004112661688839836,0.0019801313269129928,,,,,-0.0035686546759733373,0.0012154763574758753,-0.015198933385446534,0.017128098557745552
2020-08-27,-0.008066339687586965,0.00119515341509846,-0.011561927956646123,0.05156849299461275,-0.001479705111152252,-0.00011562834707157243,-0.003535748535888228,-0.00395214591475479,0.010133644023425191,,0.002192223354733969,,-0.0011937267285221376,0.011808847672626355,0.0562868693812546,0.0009227431818994436
2020-08-28,-0.0016263869269335096,-0.0079586038522248,0.017380235053033877,-0.061708225224908486,-0.04979253768822345,0.0003467283186293635,0.0016500945808362033,0.0031742327230812606,0.009497892423674513,,0.0029942436121188853,,0.00119515341509846,-0.011561927956646123,0.05156849299461275,-0.008066339687586965
2020-08-31,-0.008377952062475491,-0.0012033891585303547,0.002386259791001155,0.15026136326253647,0.016531464647359995,0.0003465097554007368,0.0010714199901344923,0.004509277903041786,0.010393798483176743,,-3.967387470193984e-06,,-0.0079586038522248,0.017380235053033877,-0.061708225224908486,-0.0016263869269335096
2020-09-01,0.0035202466330217508,0.00200809372089239,0.0011902895553947967,-0.010980651641583683,-0.026081631711874387,-0.00024272852034545878,0.0032776016108386763,0.0005513738996389961,0.005338582717948595,,-0.002725537772414954,,-0.0012033891585303547,0.002386259791001155,0.15026136326253647,-0.008377952062475491
2020-09-02,-0.029232929117551487,0.003607187656675004,-0.013131628719242117,0.01722813327459405,0.1181475089600017,0.00011588477236701422,0.0013954434184704212,0.0003934045958069454,0.012464557647403188,,-0.00875667223230514,,0.00200809372089239,0.0011902895553947967,-0.010980651641583683,0.0035202466330217508
2020-09-03,-0.003372666714269945,0.0003993390827110588,-0.00810423703378893,0.2645840745216983,0.16314445835439617,-0.00011587134464263737,0.001311921006208694,-0.003461711862582928,0.012703991819321952,,-0.007817937637641737,,0.003607187656675004,-0.013131628719242117,0.01722813327459405,-0.029232929117551487
2020-09-04,-0.038675332739444235,0.0015968041029590374,0.0027602959130217375,-0.0848213870103649,0.06637601161560558,-0.0003465722012302441,-0.005567113456514727,-0.003079411054931258,0.01792264132098976,,-0.015227726800143882,,0.0003993390827110588,-0.00810423703378893,0.2645840745216983,-0.003372666714269945
2020-09-08,-0.07568524268505195,0.0051814037011488345,-0.0019269219593246456,0.02308940112106206,0.26987734994491563,0.00011562972390466442,0.0021402655072397803,0.0009505274052370449,0.03157143418705474,,-0.02868918492465917,,0.0015968041029590374,0.0027602959130217375,-0.0848213870103649,-0.038675332739444235
2020-09-09,0.03509251834681648,-0.0015861252972818596,0.00970825655471863,-0.08423393819608227,-0.11592134490253414,0.00011551795831943323,-0.0004928363396771163,0.0005536571053812445,0.04128655455840864,,-0.022374730581900225,,0.0051814037011488345,-0.0019269219593246456,0.02308940112106206,-0.07568524268505195
2020-09-10,-0.01971090709693113,0.001985678914249611,-0.0032231430104036063,0.03123914041005804,0.055443176446505094,-0.0001155046154620587,0.0012328744926719537,0.000870080305942933,0.04111035647178896,,-0.020470326177776155,,-0.0015861252972818596,0.00970825655471863,-0.08423393819608227,0.03509251834681648
2020-09-11,0.0008043591047672827,-0.0019817438073579385,-5.486005292487661e-05,-0.09559065408128964,-0.03891868836724299,0.00023103591663886647,0.0015597415418129312,-0.0005528696977772363,0.04158436726329051,,-0.019634921013968708,,0.001985678914249611,-0.0032231430104036063,0.03123914041005804,-0.01971090709693113
2020-09-14,-0.0018752613471143542,-0.00238279770442551,0.007892586821005798,-0.03796056665075909,-0.014362681136288136,-0.00011549127568677431,-0.0009014947657171035,-0.0006326777246109527,0.040617291836924765,,-0.012274906735502734,,-0.0019817438073579385,-5.486005292487661e-05,-0.09559065408128964,0.0008043591047672827
2020-09-15,0.027375214807086934,0.0007961346080682663,-0.0023927480714920346,-0.010058035785106334,-0.08540783715311329,0.00011550461546216972,-0.0004920786102260433,0.0007118316253031942,0.0225057072654544,,0.008337184762925044,,-0.00238279770442551,0.007892586821005798,-0.03796056665075909,-0.0018752613471143542
2020-09-16,0.049111837201311515,0.0011933370215047034,0.0028345831622316187,0.017585023847447978,-0.08984283429905082,0.00011588477236701422,-0.0005746323053245073,0.0,0.02708063692073367,,0.01114104853382405,,0.0007961346080682663,-0.0023927480714920346,-0.010058035785106334,0.027375214807086934
2020-09-17,0.020169356981290187,-0.0035756589996994714,-0.005489995652194879,0.01612896137399411,-0.0583516037819759,-0.00023134923820000708,0.0003282383763807406,0.0005535675924903671,0.02088674028373733,,0.019117101349468313,,0.0011933370215047034,0.0028345831622316187,0.017585023847447978,0.049111837201311515
2020-09-18,0.003417119489312892,0.0011961918397247473,0.0013117087099276947,-0.02380949291628287,0.008778728546513737,0.00011550461546216972,-0.000902904705870955,-0.0008691100524933493,0.020339562908554133,,0.019639653426377433,,-0.0035756589996994714,-0.005489995652194879,0.01612896137399411,0.020169356981290187
2020-09-21,-0.043784947952720366,0.007168490845960607,-0.020087296599797022,0.0754936418389145,0.09777322049301862,-0.00011549127568677431,0.0018074413590507543,-0.0018186722145985268,0.03486866578088034,0.027825382296210153,0.011257716105256232,-0.003423326538343599,0.0011961918397247473,0.0013117087099276947,-0.02380949291628287,0.003417119489312892
